iter	Passed	Remaining
0	289	289617
1	292	146192
2	298	99327
3	301	75143
4	304	60620
5	307	50964
6	309	43909
7	311	38598
8	313	34470
9	315	31186
10	316	28500
11	318	26262
12	322	24455
13	323	22815
14	325	21394
15	327	20169
16	329	19070
17	333	18220
18	336	17361
19	338	16562
20	340	15857
21	342	15206
22	345	14691
23	351	14291
24	353	13778
25	355	13305
26	356	12861
27	358	12444
28	360	12056
29	365	11802
30	367	11472
31	368	11158
32	370	10858
33	372	10590
34	374	10331
35	378	10145
36	382	9963
37	384	9739
38	386	9525
39	390	9360
40	404	9463
41	406	9270
42	413	9197
43	415	9033
44	418	8890
45	421	8732
46	425	8629
47	427	8484
48	429	8333
49	430	8188
50	432	8049
51	434	7915
52	435	7787
53	441	7732
54	443	7612
55	444	7494
56	446	7381
57	447	7275
58	449	7172
59	455	7134
60	457	7035
61	458	6938
62	460	6847
63	462	6760
64	463	6671
65	468	6631
66	470	6553
67	472	6475
68	474	6400
69	476	6326
70	477	6254
71	479	6181
72	484	6148
73	485	6077
74	487	6008
75	488	5942
76	490	5878
77	491	5814
78	493	5751
79	494	5691
80	498	5656
81	499	5597
82	500	5532
83	502	5476
84	503	5421
85	505	5367
86	506	5314
87	507	5262
88	509	5212
89	512	5179
90	514	5136
91	515	5090
92	517	5044
93	518	4999
94	520	4954
95	521	4911
96	523	4869
97	524	4828
98	528	4805
99	529	4766
100	531	4728
101	532	4688
102	533	4650
103	535	4612
104	537	4579
105	538	4543
106	541	4515
107	542	4484
108	544	4450
109	545	4416
110	547	4382
111	548	4349
112	550	4317
113	551	4288
114	553	4262
115	557	4247
116	558	4216
117	560	4189
118	562	4161
119	563	4133
120	565	4111
121	567	4082
122	568	4056
123	574	4057
124	577	4045
125	579	4021
126	581	3994
127	583	3978
128	589	3979
129	592	3962
130	593	3939
131	596	3921
132	598	3899
133	599	3876
134	604	3873
135	606	3853
136	608	3832
137	609	3810
138	611	3790
139	613	3770
140	617	3763
141	619	3740
142	621	3724
143	623	3705
144	626	3691
145	628	3677
146	636	3691
147	638	3674
148	640	3658
149	642	3642
150	644	3626
151	650	3630
152	653	3618
153	656	3604
154	659	3593
155	661	3578
156	666	3576
157	668	3562
158	670	3546
159	672	3529
160	673	3508
161	675	3495
162	681	3497
163	683	3482
164	684	3465
165	686	3449
166	688	3432
167	689	3415
168	691	3399
169	695	3397
170	697	3383
171	699	3366
172	700	3350
173	702	3333
174	703	3317
