iter	Passed	Remaining
0	4	436
1	8	400
2	11	376
3	13	324
4	15	299
5	17	280
6	20	267
7	22	255
8	24	245
9	26	237
10	28	234
11	31	229
12	33	223
13	35	217
14	37	213
15	39	205
16	40	198
17	42	191
18	43	186
19	45	180
20	46	175
21	48	170
22	49	165
23	50	160
24	52	156
25	53	152
26	55	148
27	56	146
28	58	143
29	60	140
30	61	137
31	63	134
32	64	131
33	65	128
34	67	125
35	68	122
36	70	119
37	71	116
38	73	114
39	74	111
40	75	109
41	76	105
42	77	103
43	79	100
44	80	98
45	82	96
46	83	94
47	84	91
48	86	89
49	87	87
50	89	85
51	90	83
52	92	81
53	93	79
54	94	77
55	95	75
56	97	73
57	98	71
58	100	69
59	101	67
60	103	65
61	104	64
62	105	62
63	107	60
64	108	58
65	110	56
66	111	54
67	112	53
68	114	51
69	115	49
70	117	47
71	118	46
72	120	44
73	121	42
74	122	40
75	124	39
76	125	37
77	126	35
78	128	34
79	129	32
80	131	30
81	132	29
82	134	27
83	135	25
84	137	24
85	138	22
86	139	20
87	141	19
88	142	17
89	143	15
90	145	14
91	146	12
92	148	11
93	149	9
94	151	7
95	152	6
96	153	4
97	154	3
98	156	1
99	157	0
